번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
629,031330,에스에이엠티,074605,기계장비 및 관련 물품 도매업,"99,995,067","49,997,533,500","500",원(KRW),02-3458-9000,서울특별시 강남구  영동대로 315 대경빌딩 ,1268
630,060540,에스에이티,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","24,998,547","12,499,273,500","500",원(KRW),031-450-1400,"경기도 군포시  엘에스로 175 (산본동, 에스에이타워7층)",1268
631,112240,에스에프씨,032202,플라스틱제품 제조업,"34,251,694","17,125,847,000","500",원(KRW),041-632-0700,충청남도 홍성군  구항면 내포로 682 주식회사 에스에프씨,1268
632,056190,에스에프에이,032902,특수 목적용 기계 제조업,"35,908,760","17,954,380,000","500",원(KRW),031-379-1793,경기도 화성시 동탄면 영천로 38 ,1268
633,080000,에스엔유,032902,특수 목적용 기계 제조업,"31,250,000","15,625,000,000","500",원(KRW),041-536-1500,충청남도 아산시 둔포면 아산밸리남로 124 ,1268
634,160600,에스엔텍,032902,특수 목적용 기계 제조업,"11,607,790","5,803,895,000","500",원(KRW),031-299-3888,경기도 수원시 권선구 산업로155번길 187 (고색동) ,1268
635,263920,에스엔피월드,033309,그외 기타 제품 제조업,"7,876,580","3,938,290,000","500",원(KRW),032-584-0789,인천광역시 서구 신진말로 22 ,1268
636,041510,에스엠,105902,오디오물 출판 및 원판 녹음업,"21,755,663","10,877,831,500","500",원(KRW),02-6240-9817,서울특별시 강남구  압구정로 423 캠브리지연립주택 (주)에스엠엔터테인먼트,1268
637,007820,에스엠코어,032901,일반 목적용 기계 제조업,"20,000,000","10,000,000,000","500",원(KRW),02-2090-9273,서울특별시 마포구  마포대로 20 다보빌딩 ,1268
638,109610,에스와이패널,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","24,100,000","12,050,000,000","500",원(KRW),031-222-4028,경기도 수원시 권선구 경수대로 261 리치타워 7층 &nbsp,1268
639,080440,에스제이케이,033003,자동차 신품 부품 제조업,"34,039,683","17,019,841,500","500",원(KRW),02-2106-2309,"서울특별시 금천구  벚꽃로 278(가산동, SJ테크노빌4층) ",1268
640,096630,에스코넥,032604,통신 및 방송 장비 제조업,"65,265,724","13,053,144,800","200",원(KRW),031-799-0700,경기도 광주시  오포읍 마루들길172번길 30 ,1268
641,069510,에스텍,032605,영상 및 음향기기 제조업,"10,910,000","5,455,000,000","500",원(KRW),(055)370-2200,경상남도 양산시  유산공단9길 22 ,1268
642,041910,에스텍파마,032102,의약품 제조업,"11,898,263","5,949,131,500","500",원(KRW),031-831-4800,경기도 화성시 향남읍 발안공단로 25 ,1268
643,234300,에스트래픽,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","11,685,886","5,842,943,000","500",원(KRW),031-601-3500,경기도 성남시 분당구 판교로 338(삼평동) ,1268
644,039440,에스티아이,032902,특수 목적용 기계 제조업,"12,746,670","6,373,335,000","500",원(KRW),031-653-4380,경기도 안성시 공도읍 봉기길 1 ,1268
645,098660,에스티오,031401,봉제의복 제조업,"8,455,144","4,227,572,000","500",원(KRW),02-2093-2500,"서울특별시 강서구  양천로 583 우림블루나인 (염창동, 우림블루나인비즈니스센터비동 15층)",1268
646,052020,에스티큐브,032602,전자부품 제조업,"26,607,740","13,303,870,000","500",원(KRW),02-551-3370,"서울특별시 강남구  영동대로 511 2201(삼성동, 무역센터 트레이드타워)",1268
647,237690,에스티팜,032102,의약품 제조업,"18,656,000","9,328,000,000","500",원(KRW),02-527-6300,"경기도 시흥시 협력로 231(정왕동, 시화공단 1나 802호) &nbsp",1268
648,050760,에스폴리텍,032202,플라스틱제품 제조업,"16,334,678","8,167,339,000","500",원(KRW),043-536-9191,충청북도 진천군  덕산면 한삼로 275 에스폴리텍 ,1268
649,058610,에스피지,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","20,876,975","10,438,487,500","500",원(KRW),(032)820-8200,"인천광역시 남동구  청능대로289번길 45 (고잔동, 남동공단 67B12L)",1268
650,043340,에쎈테크,032901,일반 목적용 기계 제조업,"72,000,000","36,000,000,000","500",원(KRW),032 -818 -7863,인천광역시 남동구 남동서로 315 (남촌동),1268
651,054630,에이디칩스,074605,기계장비 및 관련 물품 도매업,"24,692,169","12,346,084,500","500",원(KRW),(031)463-7500,"경기도 안양시 동안구  학의로 282, A동 22층(관양동, 금강펜테리움IT타워) ",1268
652,200710,에이디테크놀로지,032601,반도체 제조업,"9,004,497","4,797,007,000","500",원(KRW),031-776-7575,"경기도 성남시 분당구 대왕판교로644번길 49801호(삼평동, 디티씨타워) ",1268
653,003800,에이스침대,033201,가구 제조업,"2,218,000","11,090,000,000","5,000",원(KRW),043 -877 -1881,경기도 성남시 중원구 사기막골로105번길 42 ,1268
654,088800,에이스테크,032604,통신 및 방송 장비 제조업,"31,006,664","15,503,332,000","500",원(KRW),032)458-1975,"인천광역시 남동구  남동서로 237 (논현동,남동공단 24B 5L)",1268
655,138360,에이씨티,032004,기타 화학제품 제조업,"18,501,349","9,250,674,500","500",원(KRW),031-695-8233,충청북도 음성군 삼성면 하이텍산단로 62 ,1268
656,072990,에이치시티,137209,기타 과학기술 서비스업,"4,579,934","2,289,967,000","500",원(KRW),031-645-6300,경기도 이천시 마장면 서이천로578번길 74 &nbsp,1268
657,176440,에이치엔티,032602,전자부품 제조업,"13,402,200","6,701,100,000","500",원(KRW),031-739-7897,"경기도 성남시 분당구 판교로 323(삼평동, 벤처포럼빌딩7층) &nbsp",1268
658,028300,에이치엘비,033101,선박 및 보트 건조업,"36,387,078","18,193,539,000","500",원(KRW),02-3453-4414,울산광역시 울주군  온산읍 당월로 216-53 ,1268
659,067630,에이치엘비생명과학,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","26,676,909","13,338,454,500","500",원(KRW),02-2627-6700,"경기도 성남시 분당구 판교로228번길 15 3동 502호(삼평동, 판교세븐벤처밸리 1단지) ",1268
660,043220,에이치엘비파워,074608,상품 종합 도매업,"52,091,927","26,045,963,500","500",원(KRW),02-544-3301,"서울특별시 강남구 도산대로 333 9, 10층(신사동, K+타워) ",1268
661,239610,에이치엘사이언스,031007,기타 식품 제조업,"5,142,148","2,571,074,000","500",원(KRW),031-421-9903,경기도 화성시 봉담읍 동산재길 36 ,1268
662,226340,에이치엠씨3호스팩,116601,금융 지원 서비스업,"6,500,000","650,000,000","100",원(KRW),02-3787-2429,서울특별시 영등포구 국제금융로2길 32 &nbsp,1268
663,044780,에이치케이,032902,특수 목적용 기계 제조업,"18,425,787","9,212,893,500","500",원(KRW),031-350-2800,경기도 화성시 양감면 사릅재길 117 ,1268
664,071670,에이테크솔루션,032902,특수 목적용 기계 제조업,"10,000,000","5,000,000,000","500",원(KRW),031-350-8167,경기도 화성시  정남면 가장로 277 ,1268
665,045660,에이텍,032603,컴퓨터 및 주변장치 제조업,"8,260,000","4,130,000,000","500",원(KRW),02  -2190-5000,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",1268
666,224110,에이텍티앤,032604,통신 및 방송 장비 제조업,"5,340,000","2,670,000,000","500",원(KRW),031-698-8743,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",1268
667,021080,에이티넘인베스트,116402,신탁업 및 집합투자업,"48,000,000","24,000,000,000","500",원(KRW),02  -555 -0781,서울 강남구 삼성동 168-26 제일빌딩 2층 ,1268
668,089530,에이티세미콘,032601,반도체 제조업,"64,643,777","32,321,888,500","500",원(KRW),031-645-7534,경기도 이천시 마장면 서이천로 138 - ,1268
669,182400,에이티젠,032101,기초 의약물질 및 생물학적 제제 제조업,"24,065,274","12,032,637,000","500",원(KRW),031-603-9217,"경기도 성남시 분당구 돌마로 172 정자동, 헬스케어혁신파크 1층및6층 ",1268
670,073570,에이티테크놀러지,032902,특수 목적용 기계 제조업,"9,225,369","4,612,684,500","500",원(KRW),041-582-5700,충청남도 천안시 서북구 직산읍 4산단7로 17-15 -,1268
671,109960,에이프로젠 H&G,032604,통신 및 방송 장비 제조업,"50,368,012","25,184,006,000","500",원(KRW),02-6010-3119,서울특별시 강남구 테헤란로32길 26 청송빌딩(전층) ,1268
672,043580,에임하이,032602,전자부품 제조업,"65,262,623","32,631,311,500","500",원(KRW),02-316-2200,서울특별시 강남구 영동대로 731 신영빌딩 10층 ,1268
673,214870,에치디프로,032604,통신 및 방송 장비 제조업,"7,040,175","3,520,087,500","500",원(KRW),032-683-7903,경기도 부천시 오정구 신흥로362번길 23 (내동) ,1268
674,230360,에코마케팅,137103,광고업,"8,128,571","812,857,100","100",원(KRW),02-2182-1100,"서울특별시 강남구 학동로 343 14층(논현동, 포바강남타워)",1268
675,038870,에코바이오,064202,건물설비 설치 공사업,"10,716,941","5,358,470,500","500",원(KRW),02-3483-2900,서울 서초구 서초동 1302-7 토탈에코빌딩 ,1268
676,086520,에코프로,032004,기타 화학제품 제조업,"22,090,191","11,045,095,500","500",원(KRW),043-240-7700,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로 ,1268
677,038110,에코플라스틱,033003,자동차 신품 부품 제조업,"22,696,398","11,348,199,000","500",원(KRW),054-770-3255,경상북도 경주시  공단로69번길 30 에코플라스틱(주) ,1268
678,073540,에프알텍,032604,통신 및 방송 장비 제조업,"11,400,000","5,700,000,000","500",원(KRW),031-470-1515,"경기도 안양시 동안구 시민대로327번길 11-25 (관양동,에프알텍타워)",1268
679,064090,에프앤리퍼블릭,032604,통신 및 방송 장비 제조업,"50,869,788","25,434,894,000","500",원(KRW),032-326-8052,경기도 부천시 오정구  석천로 345 301-901 ,1268
680,036810,에프에스티,032602,전자부품 제조업,"19,542,217","9,771,108,500","500",원(KRW),031-370-0700,경기도 화성시 동탄면 동탄산단6길 15-23 에프에스티,1268
681,063440,에프엔씨애드컬쳐,031802,기록매체 복제업,"38,307,875","19,513,937,500","500",원(KRW),031-955-7171,경기도 파주시 직지길 376 ,1268
682,173940,에프엔씨엔터,105902,오디오물 출판 및 원판 녹음업,"14,364,880","7,182,440,000","500",원(KRW),070-4659-2584,서울시 강남구 청담동 111 ,1268
683,083500,에프엔에스테크,032902,특수 목적용 기계 제조업,"6,625,485","3,312,742,500","500",원(KRW),041-584-4460,충청남도 천안시 서북구 직산읍 4산단2길 19 ,1268
684,065160,에프티이앤이,032005,화학섬유 제조업,"67,799,785","33,899,892,500","500",원(KRW),02-3489-3300,서울특별시 서초구 효령로 23-1 ,1268
685,054940,엑사이엔씨,064204,실내건축 및 건축마무리 공사업,"33,173,548","16,586,774,000","500",원(KRW),(02) 3289-5100,서울특별시 구로구  디지털로 288 ,1268
686,950130,엑세스바이오,032103,의료용품 및 기타 의약 관련제품 제조업,"27,064,930","0","0",미국달러(USD),1-732-873-4040,"65 Clyde Road Suite A Somerset NJ 08873, USA ",1268
687,205100,엑셈,105802,소프트웨어 개발 및 공급업,"33,249,362","3,324,936,200","100",원(KRW),02-6203-6300,"서울특별시 강서구 양천로 583 에이동 1208호(염창동, 우림비즈니스센터)",1268
688,092870,엑시콘,032902,특수 목적용 기계 제조업,"8,883,500","4,441,750,000","500",원(KRW),031-696-3100,"경기도 성남시 분당구 판교로 255번길 28, 7층(삼평동, 디에이치케이솔루션빌딩) &nbsp",1268
689,067570,엔브이에이치코리아,033003,자동차 신품 부품 제조업,"28,722,222","14,361,111,000","500",원(KRW),054-779-1822,울산광역시 북구 모듈화산업로 207-14엔브이에이치코리아(주) ,1268
690,101400,엔시트론,032601,반도체 제조업,"81,165,655","8,116,565,500","100",원(KRW),02-6340-1000,"경기도 성남시 분당구 판교로255번길 35 (삼평동, 실리콘파크 A동 8층)",1268
691,217820,엔에스,032902,특수 목적용 기계 제조업,"4,900,000","2,450,000,000","500",원(KRW),043-218-7056,충청북도 청주시 청원구 오창읍 각리1길 27 ,1268
692,031860,엔에스엔,074608,상품 종합 도매업,"20,588,344","10,294,172,000","500",원(KRW),02-2106-5417,"서울특별시 성동구 연무장15길 11 B동 2층 207호 (성수동2가, 에스팩토리) ",1268
693,256630,엔에이치스팩10호,116601,금융 지원 서비스업,"7,000,000","700,000,000","100",원(KRW),02-750-5546,서울특별시 영등포구 여의대로 60 &nbsp,1268
694,256840,엔에이치스팩11호,116601,금융 지원 서비스업,"6,830,000","683,000,000","100",원(KRW),02-750-5546,"서울특별시 영등포구 여의대로 60 (여의도동, 8층) ",1268
695,273060,엔에이치스팩12호,116601,금융 지원 서비스업,"7,510,000","751,000,000","100",원(KRW),02-750-5519,서울특별시 영등포구 여의대로 60 &nbsp,1268
696,208860,엔지스테크널러지,105802,소프트웨어 개발 및 공급업,"3,127,180","1,563,590,000","500",원(KRW),02-1522-9060,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층 ,1268
697,206400,엔터메이트,105802,소프트웨어 개발 및 공급업,"41,111,024","4,111,102,400","100",원(KRW),02-3461-2150,"서울특별시 서초구 남부순환로 2634-27 성원빌딩 1층, 2층",1268
698,069410,엔텔스,105802,소프트웨어 개발 및 공급업,"6,899,227","3,449,613,500","500",원(KRW),02-3218-1200,"서울특별시 강남구 학동로 401 15층(청담동, 금하빌딩)",1268
699,048830,엔피케이,032002,합성고무 및 플라스틱 물질 제조업,"18,723,923","9,361,961,500","500",원(KRW),031-730-0650,경기도 성남시 중원구  갈마치로 215 금강펜테리움IT타워 A-708,1268
700,096870,엘디티,032601,반도체 제조업,"6,678,400","3,339,200,000","500",원(KRW),041-520-7300,충청남도 천안시 서북구  한들1로 126-33 ,1268
701,061970,엘비세미콘,032601,반도체 제조업,"43,784,592","21,892,296,000","500",원(KRW),031-680-1600,경기도 평택시 청북면 청북산단로 138 ,1268
702,138690,엘아이에스,032902,특수 목적용 기계 제조업,"13,930,034","6,965,017,000","500",원(KRW),070-7162-7205,경기도 의왕시  경수대로391번길 14 (주)엘티에스 ,1268
703,066970,엘앤에프,032802,일차전지 및 축전지 제조업,"24,577,919","12,288,959,500","500",원(KRW),(053)592-7300,대구광역시 달서구  달서대로91길 120 ,1268
704,156100,엘앤케이바이오,032701,의료용 기기 제조업,"9,926,362","4,963,181,000","500",원(KRW),02-6717-1911,경기도 용인시 기흥구 동백중앙로16번길 16-25 201호 &nbsp,1268
705,073110,엘엠에스,032703,사진장비 및 광학기기 제조업,"8,895,755","4,522,877,500","500",원(KRW),031-421-2345,경기도 평택시 진위면 진위산단로 53-73 ,1268
706,083310,엘오티베큠,032902,특수 목적용 기계 제조업,"12,602,296","6,301,148,000","500",원(KRW),031-677-4431,경기도 안성시 공단1로 68 ,1268
707,037950,엘컴텍,032602,전자부품 제조업,"84,447,519","42,223,759,500","500",원(KRW),031-379-5258,경기 평택시 진위면 갈곶리 110-1 ,1268
708,170920,엘티씨,032001,기초 화학물질 제조업,"7,519,943","3,759,971,500","500",원(KRW),031-383-6525,경기도 안양시 동안구 학의로 268 메가밸리 201호 (관양동) ,1268
709,058630,엠게임,105802,소프트웨어 개발 및 공급업,"19,543,877","9,771,938,500","500",원(KRW),02-523-5854,서울특별시 금천구  가산디지털1로 145 에이스하이엔드타워3차 ,1268
710,019590,엠벤처투자,116402,신탁업 및 집합투자업,"110,405,559","55,202,779,500","500",원(KRW),02  -6000-5537,서울특별시 강남구  테헤란로87길 36 도심공항타워 2503호,1268
711,097520,엠씨넥스,032605,영상 및 음향기기 제조업,"9,095,868","4,547,934,000","500",원(KRW),02-2025-3600,"서울특별시 금천구  디지털로9길 47 (가산동, 한신IT타워2차 11층) ",1268
712,009780,엠에스씨,031007,기타 식품 제조업,"8,800,000","4,400,000,000","500",원(KRW),055 -389 -1001,경남 양산시 웅상읍 소주리 439-13 ,1268
713,123040,엠에스오토텍,033003,자동차 신품 부품 제조업,"27,204,282","13,602,141,000","500",원(KRW),054-7701810,경상북도 경주시  내남면 포석로 16-9 ,1268
714,032790,엠젠플러스,074605,기계장비 및 관련 물품 도매업,"14,571,042","7,285,521,000","500",원(KRW),02-3412-8777,서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동),1268
715,033160,엠케이전자,032602,전자부품 제조업,"21,807,689","10,903,844,500","500",원(KRW),031-330-1900,경기도 용인시 처인구 포곡읍 금어로 405 엠케이전자 ,1268
716,259630,엠플러스,032902,특수 목적용 기계 제조업,"5,111,890","2,555,945,000","500",원(KRW),043-272-7079,충청북도 청주시 흥덕구 옥산면 오산가좌로 320 ,1268
717,115960,연우,032202,플라스틱제품 제조업,"12,398,000","6,199,000,000","500",원(KRW),032-575-8811,인천광역시 서구 가좌로84번길 13 &nbsp,1268
718,090740,연이정보통신,032602,전자부품 제조업,"16,000,000","8,000,000,000","500",원(KRW),041-620-1500,충청남도 천안시 서북구  직산읍 4산단6길 77 ,1268
719,007530,영신금속,032509,기타 금속 가공제품 제조업,"6,292,968","3,146,484,000","500",원(KRW),02  -855 -6960,경기도 평택시  포승읍 포승공단로118번길 118 ,1268
720,143540,영우디에스피,032902,특수 목적용 기계 제조업,"12,184,466","6,092,233,000","500",원(KRW),041-418-4871,충청남도 천안시 서북구 성거읍 새터길 164 -,1268
721,036180,영인프런티어,074605,기계장비 및 관련 물품 도매업,"17,600,341","8,800,170,500","500",원(KRW),02-2140-3300,"서울특별시 금천구 벚꽃로 244 1101호(가산동, 벽산디지털밸리5차)",1268
722,036560,영풍정밀,032901,일반 목적용 기계 제조업,"15,750,000","7,875,000,000","500",원(KRW),02-519-3523,서울특별시 강남구 강남대로 542 ,1268
723,265560,영화테크,033003,자동차 신품 부품 제조업,"5,345,090","2,672,545,000","500",원(KRW),041-585-2685,충청남도 아산시 둔포면 아산밸리로 132 &nbsp,1268
724,036000,예림당,105801,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500","500",원(KRW),02-566-1004,서울시 성동구 아차산로 153 (성수동2가, 예림출판문화센터) ,1268
725,053280,예스24,074709,무점포 소매업,"17,200,000","8,600,000,000","500",원(KRW),02-3215-9100,서울특별시 영등포구 은행로 11 ,1268
726,122640,예스티,032902,특수 목적용 기계 제조업,"4,327,321","2,163,660,500","500",원(KRW),031-612-3337,경기도 평택시 진위면 삼남로 654 &nbsp,1268
727,900300,오가닉티코스메틱,116409,기타 금융업,"56,925,000","346,362,612","0",중국위안(CNY),86-599-8508611,"20th Floor, Alexandra House 18 Chater Road, Central Hong Kong &nbsp",1268
728,045060,오공,032004,기타 화학제품 제조업,"11,521,974","5,760,987,000","500",원(KRW),032 -822 -5050,인천광역시 남동구  함박뫼로 341 ,1268
729,080520,오디텍,032601,반도체 제조업,"11,746,609","5,873,304,500","500",원(KRW),063-263-7626,전라북도 완주군 봉동읍 완주산단5로 87 ,1268
730,039830,오로라,137302,전문디자인업,"10,762,890","5,381,445,000","500",원(KRW),02  -3420-4114,서울특별시 강남구 테헤란로 624 오로라빌딩 ,1268
731,046120,오르비텍,137209,기타 과학기술 서비스업,"21,807,489","10,903,744,500","500",원(KRW),02-852-2223,"서울특별시 금천구 범안로 1130 8층(가산동, 가산디지털엠파이어)",1268
732,014940,오리엔탈정공,033101,선박 및 보트 건조업,"40,545,960","20,272,980,000","500",원(KRW),(051)202-0101,부산광역시 강서구  녹산산단289로 6 오리엔탈정공,1268
733,065500,오리엔트정공,033003,자동차 신품 부품 제조업,"59,117,127","29,558,563,500","500",원(KRW),031-730-6707,경상북도 구미시 수출대로 9-1 26-5(공단동),1268
734,010470,오리콤,137103,광고업,"11,498,750","11,498,750,000","1,000",원(KRW),02-510-4077,서울특별시 강남구  언주로 726 두산빌딩 ,1268
735,053980,오상자이엘,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","17,747,882","8,873,941,000","500",원(KRW),032-524-0700,인천 부평구 부평동 604-15 ,1268
736,052420,오성엘에스티,032202,플라스틱제품 제조업,"205,359,736","102,741,152,000","500",원(KRW),041-583-8780,충청남도 아산시  음봉면 산동로 433-31 ,1268
737,241790,오션브릿지,032004,기타 화학제품 제조업,"9,124,980","4,562,490,000","500",원(KRW),031-8052-9030,경기도 안성시 양성면 동항공단길 49 ,1268
738,039200,오스코텍,032102,의약품 제조업,"27,250,787","13,625,393,500","500",원(KRW),031-628-7613,"경기도 성남시 분당구  대왕판교로 700 A-901(삼평동,코리아바이오파크)",1268
739,031510,오스템,033003,자동차 신품 부품 제조업,"26,000,000","13,000,000,000","500",원(KRW),041 -559 -2340,충청남도 천안시 동남구 수신면 수신로 739 ,1268
740,048260,오스템임플란트,032701,의료용 기기 제조업,"14,285,717","7,142,858,500","500",원(KRW),02-2016-7000,서울 금천구 가산동426-5 월드메르디앙벤처센터2차8층 ,1268
741,138080,오이솔루션,032604,통신 및 방송 장비 제조업,"7,739,532","3,869,766,000","500",원(KRW),062-602-7631,광주광역시 북구 첨단연신로30번길 53 -,1268
742,080580,오킨스전자,032602,전자부품 제조업,"6,200,000","3,100,000,000","500",원(KRW),031-460-3500,"경기도 의왕시 오전공업길 13, 6층 (오전동, 벽산선영테크노피아) &nbsp",1268
743,067170,오텍,116409,기타 금융업,"15,391,605","7,695,802,500","500",원(KRW),02-2628-0660,충청남도 예산군  고덕면 예덕로 1033-36 ,1268
744,049480,오픈베이스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","31,422,383","15,711,191,500","500",원(KRW),02  -3404-5601,"서울특별시 서초구  매헌로 16 (양재동, 하이브랜드 리빙관4층)",1268
745,057540,옴니시스템,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","40,679,015","20,339,507,500","500",원(KRW),031-883-5400,경기도 여주군  가남면 연삼로 284 ,1268
746,057680,옴니텔,105802,소프트웨어 개발 및 공급업,"21,138,640","10,569,320,000","500",원(KRW),02-2181-8000,서울특별시 동작구 여의대방로62길 1 3층,1268
747,123010,옵토팩,032602,전자부품 제조업,"4,972,409","2,486,204,500","500",원(KRW),043-218-7866,충청북도 청주시 흥덕구 옥산면 과학산업1로 114 &nbsp,1268
748,082210,옵트론텍,032703,사진장비 및 광학기기 제조업,"22,560,627","11,280,313,500","500",원(KRW),(042)360-1510,경상남도 창원시 의창구 평산로8번길 19-15 (팔용동),1268
749,109080,옵티시스,032604,통신 및 방송 장비 제조업,"5,636,000","2,818,000,000","500",원(KRW),031-719-8033,"경기도 성남시 분당구 정자일로 166 ,7층(정자동SPG Dream 빌딩) ",1268
750,052770,와이디온라인,105802,소프트웨어 개발 및 공급업,"26,533,042","13,266,521,000","500",원(KRW),02-3475-2900,서울특별시 강남구  학동로97길 20 ,1268
751,057030,와이비엠넷,168507,교육지원 서비스업,"16,312,697","8,156,348,500","500",원(KRW),(02) 2008-5200,"경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 8,9층 ",1268
752,122990,와이솔,032602,전자부품 제조업,"22,973,863","11,486,931,500","500",원(KRW),070-7837-6240,경기도 오산시 가장로 531-7(가장동) ,1268
753,232140,와이아이케이,032902,특수 목적용 기계 제조업,"61,788,456","6,178,845,600","100",원(KRW),031-8038-8200,"경기도 성남시 분당구 판교로255번길 28 (삼평동, 디에이치케이솔루션빌딩 7층)",1268
754,067900,와이엔텍,053802,폐기물 처리업,"17,842,803","8,921,401,500","500",원(KRW),061-690-6933,전라남도 여수시  여수산단로 1232 ,1268
755,155650,와이엠씨,032602,전자부품 제조업,"9,865,093","4,932,546,500","500",원(KRW),041-538-5200,충청남도 아산시  둔포면 아산밸리중앙로 154-25 ,1268
756,251370,와이엠티,032001,기초 화학물질 제조업,"7,405,200","3,702,600,000","500",원(KRW),032-821-8277,"인천광역시 남동구 남동동로153번길 30(고잔동, 남동공단) ",1268
757,066430,와이오엠,074607,기타 전문 도매업,"11,563,534","5,781,767,000","500",원(KRW),051-972-7175,부산광역시 강서구 호계로145번길 36 (죽동동) 주식회사 와이오엠 ,1268
758,193250,와이제이엠게임즈,032602,전자부품 제조업,"45,636,595","4,563,659,500","100",원(KRW),02-591-1310,서울특별시 강남구 테헤란로77길 11-9 삼성타워 8층 ,1268
759,019210,와이지-원,032509,기타 금속 가공제품 제조업,"30,093,322","15,046,661,000","500",원(KRW),032 -526 -0909,인천 부평구 청천동 68번지 ,1268
760,122870,와이지엔터테인먼트,105902,오디오물 출판 및 원판 녹음업,"18,185,709","9,092,854,500","500",원(KRW),02-3142-1104,서울특별시 마포구  희우정로1길 3 ,1268
761,079000,와토스코리아,032202,플라스틱제품 제조업,"7,200,000","3,600,000,000","500",원(KRW),061-392-3685,전라남도 장성군  동화면 전자농공단지1길 31 ,1268
762,900180,완리,116409,기타 금융업,"107,630,204","608,446,983","0",중국위안(CNY),86-139-6039-7789,홍콩 센트럴 코넛플레이스 1번지 자덴하우스  32층 3201호,1268
763,114630,우노앤컴퍼니,032005,화학섬유 제조업,"13,573,965","6,886,982,500","500",원(KRW),063-261-7555,전라북도 완주군  봉동읍 완주산단3로 158-15 우노앤컴퍼니 ,1268
764,032820,우리기술,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","85,399,992","42,699,996,000","500",원(KRW),02  -2102-5100,"서울특별시 마포구 월드컵북로56길 9 4층(상암동, 우리기술빌딩)",1268
765,041190,우리기술투자,116409,기타 금융업,"84,000,000","42,000,000,000","500",원(KRW),02-2008-3100,서울특별시 강남구  테헤란로 522 ,1268
766,115440,우리넷,032604,통신 및 방송 장비 제조업,"6,365,710","3,182,855,000","500",원(KRW),031-276-5101,경기도 안양시 동안구 시민대로 353(관양동) ,1268
767,046970,우리로,032604,통신 및 방송 장비 제조업,"23,312,456","11,656,228,000","500",원(KRW),062-602-8100,광주광역시 광산구  평동산단6번로 102-22 ,1268
768,215360,우리산업,033003,자동차 신품 부품 제조업,"9,132,163","4,566,081,500","500",원(KRW),031-201-6522,경기도 용인시 기흥구 지삼로 89 ,1268
769,072470,우리산업홀딩스,116409,기타 금융업,"18,887,341","9,443,670,500","500",원(KRW),031)201-6522,경기도 용인시 기흥구 지삼로 89 ,1268
770,073560,우리손에프앤지,010102,축산업,"69,237,643","34,618,821,500","500",원(KRW),041-563-1055,전라남도 나주시 반남면 장송길 73 ,1268
771,153490,우리이앤엘,032601,반도체 제조업,"49,900,000","24,950,000,000","500",원(KRW),031-599-3143,경기도 안산시 단원구  성곡로 79 ,1268
772,082850,우리이티아이,032804,전구 및 조명장치 제조업,"41,518,621","20,759,310,500","500",원(KRW),031-494-8828,"경기도 안산시 단원구 성곡로 79 (성곡동,608블럭30롯트)",1268
773,037400,우리조명,032804,전구 및 조명장치 제조업,"24,923,346","12,461,673,000","500",원(KRW),031 -492 -1012,경기도 안산시 단원구  성곡로 79 ,1268
774,101170,우림기계,032901,일반 목적용 기계 제조업,"13,500,000","6,750,000,000","500",원(KRW),055-260-0300,경상남도 창원시 성산구  남면로 613 우림기계 ,1268
775,194610,우성아이비,033309,그외 기타 제품 제조업,"20,720,000","2,072,000,000","100",원(KRW),032-550-1000,인천광역시 부평구 평천로 251 -,1268
776,066590,우수AMS,033003,자동차 신품 부품 제조업,"24,694,303","12,347,151,500","500",원(KRW),(055)2745011,경남 창원시 신촌동 192-4번지 ,1268
777,046940,우원개발,064201,기반조성 및 시설물 축조관련 전문공사업,"14,650,592","7,325,296,000","500",원(KRW),02-3490-1996,서울특별시 서초구 강남대로 279 백향빌딩 8층 ,1268
778,215380,우정비에스씨,137001,자연과학 및 공학 연구개발업,"21,697,443","2,169,744,300","100",원(KRW),031-888-9369,경기도 수원시 영통구 광교로 145 차세대융합기술원 B동 3층,1268
779,065680,우주일렉트로,032602,전자부품 제조업,"9,934,220","4,967,110,000","500",원(KRW),031-371-3700,경기도 화성시  양감면 초록로532번길 61 ,1268
780,018620,우진비앤지,032102,의약품 제조업,"11,991,296","5,995,648,000","500",원(KRW),02)795-2361,경기도 화성시 양감면 정문송산로 230 ,1268
